,account_length,voice_mail_messages,customer_service_calls,international_plan,day_calls,day_charge,evening_calls,evening_charge,night_calls,night_charge,international_calls,international_charge,total_charge,churn
85,128,29,0,0,104,30.48,86,19.2,78,14.54,7,2.32,66.54,0
86,94,0,4,0,105,26.84,101,13.18,84,8.53,5,2.16,50.71,1
87,111,0,1,0,118,36.43,76,17.72,98,8.21,2,3.24,65.6,0
88,74,35,2,0,104,26.2,84,10.49,57,9.09,9,2.94,48.72,0
89,128,0,1,0,125,40.44,93,21.05,68,9.4,4,3.75,74.64,1
90,82,0,1,0,61,24.46,105,16.57,94,4.93,2,3.0,48.96,0
91,155,0,0,0,100,34.58,104,16.23,119,8.82,4,2.4,62.03,1
92,80,0,1,0,100,21.13,107,14.71,62,11.39,9,2.13,49.36,0
93,78,0,3,0,93,42.99,112,15.16,105,11.88,7,2.57,72.6,0
94,90,0,3,0,71,30.45,81,16.2,91,5.75,7,2.86,55.26,0
95,104,0,1,0,106,47.33,113,6.89,137,7.34,5,2.65,64.21,0
96,73,0,0,0,110,27.22,72,18.13,72,7.83,4,3.51,56.69,0
97,99,0,4,0,87,33.69,76,17.62,113,8.59,3,2.35,62.25,0
98,120,0,1,0,131,36.06,104,17.8,96,7.52,5,1.43,62.81,1
99,77,0,2,0,72,42.81,126,17.48,109,12.38,7,2.65,75.32,1
100,98,21,4,0,114,27.4,83,21.44,92,7.21,8,1.19,57.24,0
101,108,0,0,0,137,30.31,76,16.07,102,5.81,5,3.94,56.13,0
102,135,0,0,0,82,25.79,105,10.12,100,8.1,6,2.84,46.85,0
103,95,0,1,0,99,22.95,106,15.61,102,11.04,9,3.38,52.98,0
104,122,0,1,0,94,28.99,109,14.76,75,11.19,2,3.05,57.99,0
105,95,0,4,0,65,40.48,98,15.91,115,8.55,4,3.19,68.13,0
106,36,29,2,0,102,47.84,76,17.19,113,8.42,6,2.43,75.88,0
107,93,21,1,0,131,20.04,115,13.98,86,9.76,3,2.65,46.43,0
108,141,32,1,0,91,25.26,97,11.14,142,9.87,1,2.73,49.0,0
109,157,0,3,0,90,39.07,121,12.57,108,10.86,7,2.59,65.09,0
110,120,0,1,0,100,28.05,83,26.96,86,5.36,8,2.24,62.61,0
111,103,0,2,0,117,31.45,94,18.98,91,10.03,2,3.4,63.86,0
112,98,0,4,0,117,27.37,113,16.23,113,10.25,4,3.27,57.12,0
113,125,0,1,0,108,21.54,90,17.51,114,11.15,7,3.59,53.79,0
114,63,0,1,0,125,10.01,59,14.42,88,9.51,3,2.54,36.48,0
115,36,42,0,1,89,33.46,122,21.67,126,6.22,6,5.4,66.75,1
116,64,0,1,0,83,27.64,109,12.95,122,2.59,3,3.83,47.01,0
117,74,0,1,0,114,48.03,48,18.69,115,7.65,4,2.54,76.91,1
118,112,36,2,0,117,19.33,82,13.39,118,7.99,3,2.7,43.41,0
119,97,0,2,0,125,40.77,111,18.26,81,6.45,5,2.35,67.83,0
120,46,0,1,0,92,35.73,77,19.32,116,9.0,7,3.54,67.59,0
121,41,22,0,0,102,36.35,86,12.05,123,6.4,3,1.94,56.74,0
122,121,0,3,0,103,32.42,117,15.6,103,9.94,4,2.65,60.61,0
123,193,0,1,0,124,29.05,95,11.25,89,5.08,3,3.13,48.51,0
124,130,0,2,0,119,26.21,98,9.37,117,10.23,5,2.48,48.29,0
125,85,0,1,0,52,34.24,104,19.5,106,11.36,3,3.24,68.34,0
126,162,0,4,0,108,12.02,87,13.39,82,6.97,3,2.46,34.84,1
127,61,27,4,0,124,31.88,103,12.46,129,10.16,6,1.73,56.23,1
128,92,0,2,0,90,15.59,123,16.46,86,7.88,4,2.48,42.41,0
129,131,36,3,0,115,36.41,117,13.74,102,11.91,4,2.57,64.63,0
130,90,0,3,0,92,24.74,114,18.5,123,6.61,2,2.94,52.79,0
131,75,0,1,0,125,28.27,86,13.45,80,11.55,5,1.65,54.92,0
132,78,0,1,0,115,39.27,140,19.58,120,11.76,3,2.57,73.18,0
133,82,0,4,0,96,34.05,102,17.1,60,9.27,1,1.92,62.34,0
134,163,0,1,0,109,33.49,128,17.22,80,9.29,10,2.46,62.46,0
135,91,0,3,1,112,22.08,83,14.73,130,11.12,3,3.02,50.95,0
136,75,21,5,0,97,29.89,106,18.49,134,10.69,4,1.43,60.5,0
137,91,0,3,0,106,34.53,113,17.86,129,8.8,3,3.24,64.43,0
138,127,36,1,0,117,31.14,76,10.78,71,11.85,8,3.02,56.79,0
139,113,23,2,0,101,34.85,60,12.92,59,7.14,5,2.75,57.66,0
140,110,0,1,0,115,25.25,84,23.49,112,8.71,3,3.35,60.8,0
141,120,39,0,0,68,34.05,97,18.73,116,11.42,4,2.84,67.04,0
142,157,28,3,0,107,32.74,74,16.62,139,4.94,5,1.84,56.14,0
143,103,0,1,0,47,41.91,84,16.62,96,9.02,4,3.16,70.71,0
144,117,0,2,1,86,28.41,87,15.09,132,11.22,7,3.81,58.53,1
145,140,0,3,0,101,39.42,94,13.61,98,4.97,6,3.86,61.86,0
146,127,0,1,0,91,24.94,78,17.3,110,9.15,3,3.7,55.09,0
147,83,0,1,1,87,46.16,126,18.39,105,5.45,4,3.16,73.16,0
148,121,0,1,0,121,30.86,98,18.56,103,7.27,5,2.3,58.99,0
149,145,43,2,0,97,43.81,95,13.78,86,12.91,4,3.0,73.5,0
150,113,0,1,0,99,32.95,125,18.82,67,7.75,6,2.86,62.38,0
151,117,0,1,0,119,17.48,91,17.57,105,13.46,7,2.73,51.24,0
152,65,0,1,0,116,31.94,117,13.4,86,10.23,6,2.03,57.6,0
153,56,0,1,0,112,38.42,118,21.12,142,6.32,11,1.86,67.72,0
154,96,0,5,0,115,44.27,46,12.41,87,12.13,4,3.11,71.92,0
155,151,0,0,0,116,30.38,138,24.83,101,11.97,4,2.65,69.83,0
156,83,0,0,0,120,57.36,116,19.33,114,6.93,7,4.27,87.89,1
157,139,23,0,0,129,26.79,96,21.0,112,11.66,2,3.7,63.15,0
158,6,0,1,0,117,31.21,72,21.82,79,8.04,2,2.75,63.82,0
159,115,24,1,0,124,24.16,129,15.59,114,7.42,4,2.59,49.76,0
160,87,0,0,0,97,23.17,108,14.64,101,6.19,5,1.92,45.92,0
161,141,0,0,0,110,36.91,111,20.53,103,11.41,6,3.24,72.09,0
162,141,36,3,0,99,31.88,116,20.52,105,10.33,5,2.84,65.57,0
163,62,0,1,0,103,16.81,122,11.51,82,10.65,1,3.29,42.26,0
164,146,0,1,0,151,35.07,89,12.63,91,7.52,3,1.65,56.87,0
165,92,33,2,0,92,41.33,92,18.17,104,10.29,2,3.27,73.06,0
166,185,31,1,0,126,32.27,133,13.88,126,11.92,3,2.03,60.1,0
167,148,0,1,0,102,34.34,128,20.67,90,11.76,3,2.94,69.71,0
168,94,38,1,0,124,28.92,116,16.43,73,4.77,4,3.46,53.58,0
169,32,0,0,0,87,39.25,90,15.93,53,6.93,2,1.7,63.81,0
170,68,0,1,0,105,40.31,105,19.0,79,4.38,2,3.56,67.25,0
171,64,27,2,0,91,30.96,98,14.42,86,7.41,5,2.86,55.65,0
172,25,0,3,0,87,20.28,101,17.98,86,12.1,4,2.84,53.2,0
173,65,0,1,0,87,19.86,93,15.21,150,8.21,2,3.81,47.09,0
174,179,0,0,0,92,37.26,125,12.7,104,11.01,5,1.65,62.62,0
175,94,0,2,0,104,42.94,125,14.37,106,7.69,7,3.0,68.0,0
176,62,0,0,0,91,25.01,107,16.18,115,8.78,3,3.29,53.26,0
177,127,0,2,0,103,34.36,86,19.5,113,8.78,3,3.11,65.75,0
178,116,0,3,0,93,29.5,76,16.5,112,9.36,10,4.37,59.73,0
179,70,0,3,0,122,39.46,112,24.85,112,9.05,0,0.0,73.36,0
180,94,23,4,1,125,33.51,136,18.23,103,12.7,5,2.57,67.01,0
181,126,0,5,0,94,9.89,118,11.79,91,6.16,1,3.21,31.05,1
182,67,36,2,0,111,19.65,94,20.2,103,7.65,12,2.67,50.17,0
183,19,0,2,0,98,31.64,57,21.62,127,9.63,7,3.94,66.83,0
184,170,0,3,1,68,44.18,122,20.83,121,6.05,3,2.27,73.33,0
185,73,0,1,0,145,36.43,135,22.82,92,10.85,13,2.92,73.02,0
186,106,0,1,0,74,26.98,139,5.47,103,8.93,4,2.75,44.13,0
187,93,0,2,0,71,46.17,108,19.5,121,3.48,3,2.94,72.09,0
188,164,0,1,0,111,27.3,126,13.87,112,8.42,3,2.43,52.02,0
189,51,0,1,0,109,39.51,95,15.93,107,10.4,3,2.46,68.3,0
190,107,0,0,0,85,22.75,94,15.34,115,5.05,4,2.4,45.54,0
191,130,0,1,0,109,30.07,104,7.71,69,10.71,2,2.57,51.06,0
192,80,0,2,0,74,35.68,77,16.58,119,9.37,4,2.38,64.01,0
193,94,0,0,0,118,23.38,88,17.27,131,6.75,2,3.62,51.02,0
194,118,23,1,0,52,49.22,111,14.16,88,5.36,4,2.57,71.31,0
195,117,23,1,0,86,33.68,86,15.05,92,8.12,6,1.84,58.69,0
196,78,0,0,0,119,25.45,115,15.49,126,11.77,8,2.62,55.33,0
197,208,0,2,0,67,55.51,113,14.99,102,8.18,6,2.89,81.57,1
198,131,26,4,1,101,49.79,97,16.97,127,11.49,7,3.73,81.98,1
199,63,0,0,0,64,14.11,106,15.05,89,11.06,3,3.51,43.73,0
200,53,24,3,0,146,24.77,136,18.74,96,11.25,5,3.54,58.3,0
201,62,0,2,0,101,30.99,93,27.9,131,11.03,1,3.02,72.94,0
202,97,0,3,0,86,37.06,94,15.64,110,10.82,8,1.73,65.25,0
203,105,0,2,0,109,23.9,51,15.18,83,9.76,3,1.84,50.68,0
204,157,0,1,0,105,25.96,80,21.89,93,8.91,4,2.54,59.3,0
205,66,36,1,0,76,18.14,77,17.83,117,8.57,2,3.27,47.81,0
206,122,0,2,0,98,41.45,72,7.13,84,8.09,8,3.7,60.37,0
207,38,0,3,0,94,33.05,95,15.87,90,10.05,5,2.92,61.89,0
208,106,0,3,0,95,36.36,70,12.91,124,11.7,5,3.29,64.26,0
209,99,0,3,0,112,36.92,89,20.97,89,10.17,7,4.27,72.33,0
210,99,0,1,0,72,40.99,98,13.23,109,8.47,10,3.13,65.82,0
211,144,0,0,1,100,34.6,103,21.05,94,8.74,11,3.21,67.6,0
212,82,24,1,0,131,26.38,106,20.78,68,5.51,3,2.89,55.56,0
213,86,31,1,0,139,28.49,118,9.61,121,11.11,6,3.29,52.5,0
214,70,0,2,1,98,38.54,115,19.39,93,3.29,4,4.75,65.97,1
215,93,0,3,0,93,30.48,98,15.18,131,10.13,6,3.11,58.9,0
216,93,0,0,0,89,25.74,76,15.84,120,7.76,3,2.94,52.28,0
217,120,0,3,0,80,30.6,82,19.06,91,11.94,7,1.27,62.87,0
218,136,0,1,0,121,42.53,118,22.7,114,6.8,2,3.51,75.54,1
219,106,0,0,0,121,37.91,98,9.36,107,8.49,12,1.92,57.68,0
220,81,0,3,0,116,31.21,98,12.97,99,9.55,6,3.29,57.02,0
221,127,22,1,0,114,28.22,103,14.83,68,11.02,6,2.75,56.82,0
222,65,0,1,0,112,23.14,96,23.2,104,9.91,2,1.19,57.44,0
223,35,0,2,0,113,25.38,122,20.59,104,7.84,6,2.4,56.21,0
224,88,0,2,0,97,11.12,76,14.3,113,10.62,1,3.73,39.77,0
225,65,0,1,0,111,36.28,94,19.93,123,11.25,4,0.73,68.19,0
226,123,0,3,0,85,35.17,78,20.8,136,9.97,2,2.08,68.02,0
227,126,27,2,0,78,31.65,83,16.12,139,3.44,3,2.59,53.8,0
228,104,23,4,0,136,47.63,92,18.74,102,6.16,3,3.59,76.12,0
229,45,22,0,0,84,33.42,92,26.62,108,7.35,3,3.21,70.6,0
230,93,0,0,1,109,53.04,100,11.0,74,9.79,2,2.84,76.67,1
231,63,36,1,1,110,33.83,111,24.76,92,8.89,6,2.97,70.45,0
232,100,0,3,0,96,34.53,126,18.45,122,8.14,2,3.65,64.77,0
233,53,0,0,0,97,28.7,87,18.73,113,6.94,2,2.94,57.31,0
234,92,0,1,1,140,29.43,105,20.43,117,10.49,5,2.43,62.78,0
235,139,0,5,0,106,22.85,98,17.96,125,8.71,2,2.75,52.27,1
236,110,40,2,0,103,34.44,128,10.1,98,10.57,9,2.43,57.54,0
237,110,0,3,0,117,12.67,98,17.07,101,8.65,7,2.65,41.04,0
238,215,0,0,0,148,14.21,91,10.28,110,10.2,9,2.89,37.58,0
239,73,0,1,0,86,32.67,116,14.33,87,6.29,6,2.54,55.83,0
240,138,0,0,0,89,37.43,125,7.51,79,8.79,5,3.48,57.21,0
241,137,0,2,1,95,22.97,102,11.4,81,10.04,2,3.32,47.73,1
242,36,0,1,0,77,43.08,151,15.5,103,12.41,2,2.27,73.26,0
243,85,0,3,0,81,38.25,63,15.04,110,8.74,2,1.92,63.95,0
244,108,0,0,0,99,33.75,60,22.76,75,15.97,3,2.54,75.02,1
245,22,0,0,0,107,18.75,93,14.15,96,9.1,5,2.57,44.57,0
246,107,37,0,0,102,10.2,80,8.69,106,11.78,3,3.0,33.67,0
247,51,0,0,0,94,36.52,58,12.72,66,12.75,5,2.75,64.74,0
248,94,0,4,0,85,30.91,98,17.2,97,11.07,2,2.48,61.66,0
249,119,23,2,0,114,26.18,137,23.63,112,10.28,4,3.19,63.28,0
250,33,29,4,0,99,26.76,80,10.02,79,12.56,11,3.75,53.09,1
251,106,0,4,0,91,35.34,109,14.62,143,8.63,7,3.89,62.48,0
252,82,0,3,0,90,35.19,83,19.8,108,7.76,8,2.46,65.21,0
253,86,41,0,0,101,20.23,134,19.55,58,10.66,3,2.57,53.01,0
254,97,0,0,1,117,24.43,82,23.21,81,8.02,3,2.94,58.6,0
255,106,32,4,0,126,28.2,93,18.4,86,7.79,8,3.81,58.2,0
256,108,0,1,0,122,23.56,117,14.65,92,10.42,3,2.65,51.28,0
257,114,0,1,0,118,14.4,86,21.24,95,8.7,8,3.92,48.26,0
258,92,0,1,1,111,10.64,126,15.35,80,9.98,2,2.81,38.78,1
259,59,0,1,0,79,26.38,123,20.0,80,7.62,4,2.35,56.35,0
260,24,25,1,0,110,28.03,105,17.79,55,10.4,9,1.81,58.03,0
261,151,0,1,0,88,22.87,112,12.16,61,10.08,1,4.16,49.27,0
262,117,0,1,0,103,24.36,108,17.96,96,8.33,3,3.11,53.76,0
263,78,0,1,0,110,28.61,73,18.8,136,10.85,1,3.38,61.64,0
264,155,0,2,0,55,44.61,113,16.54,85,6.59,6,2.24,69.98,0
265,114,30,1,0,79,35.05,91,22.1,83,13.12,6,3.08,73.35,0
266,114,28,4,0,94,38.39,117,16.41,100,10.46,9,2.27,67.53,0
267,119,0,3,0,89,23.51,78,14.49,98,11.88,6,3.65,53.53,0
268,64,48,0,0,104,16.05,101,11.58,89,6.63,4,1.22,35.48,0
269,118,0,2,1,123,27.2,96,14.91,99,8.32,3,2.67,53.1,0
270,101,0,0,0,105,35.12,117,19.12,100,11.25,3,3.94,69.43,0
271,117,0,1,0,121,22.9,83,15.3,104,9.04,3,2.08,49.32,0
272,49,28,3,0,78,36.45,100,19.99,107,9.28,13,2.16,67.88,0
273,139,0,3,0,104,32.78,96,19.92,101,9.14,3,3.51,65.35,0
274,92,28,1,0,90,25.69,79,16.56,114,10.76,3,2.7,55.71,0
275,83,0,3,0,103,37.64,103,19.7,100,5.51,5,2.65,65.5,0
276,148,0,0,1,88,37.21,85,17.68,99,9.15,4,3.0,67.04,0
277,144,48,2,0,96,32.27,67,10.49,106,9.64,2,1.76,54.16,1
278,131,25,2,0,85,32.76,105,19.2,59,11.44,6,2.94,66.34,0
279,146,0,3,1,135,34.75,90,18.62,114,10.02,6,2.84,66.23,0
280,143,0,2,0,97,29.29,108,14.79,119,8.47,4,3.51,56.06,0
281,81,0,2,0,93,33.73,108,17.93,71,8.7,6,2.81,63.17,0
282,48,37,1,0,115,35.99,84,13.59,80,6.48,1,3.29,59.35,0
283,86,28,1,0,74,37.67,100,24.51,105,10.81,2,2.43,75.42,0
284,71,0,3,0,108,33.64,109,15.43,56,12.66,5,1.81,63.54,0
285,145,24,2,0,90,25.08,108,14.93,102,11.34,3,4.21,55.56,0
286,137,0,2,0,122,35.09,102,10.88,84,8.75,5,2.38,57.1,0
287,137,0,2,0,88,35.0,86,17.79,84,13.05,4,3.92,69.76,0
288,167,0,0,0,88,35.29,63,11.25,98,11.48,5,3.81,61.83,0
289,89,0,1,0,95,51.66,114,22.18,89,14.04,3,1.43,89.31,1
290,199,34,0,0,121,39.2,99,18.65,94,13.47,2,2.16,73.48,0
291,132,0,0,0,110,16.92,80,10.97,124,5.63,3,2.62,36.14,0
292,94,0,1,0,112,30.11,112,16.49,108,6.6,4,1.59,54.79,0
293,96,37,5,0,93,29.36,116,10.21,86,9.72,5,2.78,52.07,1
294,96,18,1,0,86,29.36,113,11.34,70,11.68,3,2.65,55.03,0
295,166,0,1,0,115,34.71,152,15.29,109,9.76,5,2.57,62.33,0
296,74,0,2,0,83,14.57,67,21.05,85,6.41,5,2.73,44.76,0
297,36,0,0,0,117,26.79,58,15.67,99,10.82,1,3.21,56.49,0
298,113,0,4,0,129,36.64,117,18.59,91,9.32,9,1.78,66.33,0
299,94,0,1,0,98,30.86,88,16.99,114,12.95,5,1.78,62.58,0
300,67,0,2,0,80,29.19,81,9.38,111,8.79,4,3.21,50.57,0
301,127,0,1,0,106,45.32,168,22.51,119,9.32,2,1.59,78.74,1
302,121,0,0,0,108,28.97,68,29.79,87,13.37,3,3.02,75.15,1
303,158,0,1,0,106,26.86,114,24.86,89,10.85,4,2.46,65.03,0
304,136,0,1,0,117,15.64,77,21.56,90,9.63,10,2.78,49.61,0
305,196,0,2,0,109,39.78,114,21.21,70,7.79,5,2.46,71.24,0
306,113,0,1,0,111,46.26,118,22.82,105,9.62,10,2.3,81.0,1
307,122,0,4,0,99,50.39,89,18.26,107,6.03,3,3.08,77.76,1
308,112,0,0,0,101,33.05,82,16.18,107,8.25,2,3.08,60.56,0
309,209,0,3,0,128,38.62,92,21.96,74,8.26,4,2.4,71.24,0
310,62,0,1,0,109,42.28,118,18.7,78,11.96,2,3.56,76.5,1
311,110,38,1,0,102,40.17,112,16.65,82,8.26,6,2.62,67.7,0
312,16,0,0,0,69,34.95,93,14.41,64,9.9,3,2.94,62.2,0
313,73,0,0,0,136,16.0,122,23.83,77,9.23,4,2.65,51.71,0
314,128,0,0,0,99,21.28,107,17.46,111,11.45,2,5.1,55.29,0
315,39,0,1,0,158,10.27,120,26.03,46,5.58,3,3.35,45.23,0
316,103,28,2,0,105,20.57,100,22.98,76,7.22,4,2.08,52.85,0
317,119,29,3,0,66,20.03,114,21.83,76,6.64,3,2.05,50.55,0
318,173,21,3,0,96,39.51,118,18.01,102,12.29,5,1.35,71.16,0
319,128,32,2,1,81,38.0,74,16.05,101,6.97,2,2.54,63.56,1
320,86,0,0,0,79,29.97,97,22.03,78,12.93,3,1.67,66.6,0
321,114,32,1,0,79,21.28,105,15.11,89,10.46,3,3.48,50.33,0
322,104,0,0,0,107,23.58,113,21.84,74,10.57,3,2.7,58.69,0
323,148,0,1,0,134,14.67,92,20.96,91,11.32,4,3.05,50.0,0
324,129,0,3,0,91,35.19,121,13.17,112,11.03,5,3.62,63.01,0
325,100,30,0,0,104,10.0,107,18.66,118,6.85,3,1.92,37.43,0
326,121,35,1,0,95,11.68,69,17.78,42,8.88,4,3.08,41.42,0
327,143,33,1,0,109,40.66,112,20.02,95,7.03,4,2.57,70.28,0
328,76,0,0,0,130,33.71,86,18.45,96,8.48,3,3.38,64.02,0
329,158,0,0,0,97,34.88,77,20.45,108,3.59,12,3.89,62.81,0
330,116,0,3,0,98,32.66,135,26.6,94,5.86,2,2.13,67.25,0
331,54,0,1,0,83,46.34,74,21.14,111,8.88,2,2.57,78.93,1
332,86,0,7,0,121,21.81,93,16.75,152,6.23,5,3.29,48.08,1
333,108,0,0,0,99,28.83,87,22.45,78,9.28,4,2.51,63.07,0
334,66,0,1,0,95,34.22,66,12.99,101,10.49,4,2.03,59.73,0
335,151,17,1,0,97,36.5,90,11.77,44,7.61,4,2.32,58.2,0
336,99,0,0,0,70,28.76,77,23.08,104,7.66,2,2.86,62.36,0
337,55,0,2,0,121,33.0,110,15.01,136,13.63,7,1.89,63.53,0
338,77,0,2,0,104,39.75,94,22.65,104,9.57,3,2.05,74.02,0
339,78,0,0,0,67,38.27,127,16.93,102,7.9,2,3.94,67.04,0
340,89,0,1,0,63,36.21,71,15.01,126,11.82,1,2.46,65.5,1
341,101,0,1,0,115,31.26,101,21.75,145,12.38,11,2.92,68.31,0
342,44,34,0,0,105,37.71,85,13.74,62,10.25,7,3.78,65.48,0
343,98,21,2,0,98,10.98,86,14.97,84,11.02,0,0.0,36.97,0
344,64,37,1,0,92,26.28,103,7.09,99,7.47,3,3.59,44.43,0
345,141,0,3,0,131,44.23,120,15.23,119,6.08,8,1.94,67.48,0
